code,description
1,"Highway"
2,"Railroad"
3,"Pedestrian-bicycle"
4,"Highway-railroad"
5,"Highway-pedestrian"
6,"Overpass structure at an interchange"
7,"Third level (interchange)"
8,"Fourth level (interchange)"
9,"Building or plaza"
0,"Other"
