STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
37,DAPFORBRA0000U2,1,8,0,00000,0,06,085,31920,'LITTLE RIVER',NULL,'DELISHI ROAD','RANGE NTA6 (W)',99.99,0,0,NULL,NULL,35.18542,-79.05528,3,3,74,74,09,1960,2,0,1,2018,0,8.5,0,0,0,1,0,0,1,5,0,0,0,A,1,5,3,02,0,00,3,0,8.5,28.6,59.7,0,0,8.5,9.5,99.99,N,0,N,0,0,7,7,7,7,N,5,NULL,5,NULL,*,7,N,5,7,8,38,1,70.1,618,24,N,N,N,NULL,NULL,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,2,NULL,0,0,0,1,1,0,0,0,0,NULL,Y,5,2,2040,NULL,Y,74,G,7,567.15
37,DAPFORBRA009702,1,8,0,00000,0,00,051,31920,'LITTLE RIVER',NULL,'JOHN NEILL/SHAW RD','PU 743 944',99.99,0,0,NULL,NULL,35.17744,-79.08583,6,3,74,74,09,1990,1,0,100,2018,0,6.1,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,10,0,00,1,0,4.1,30.5,30.5,0,0,4.1,5.4,99.99,N,0,N,0,0,6,6,6,7,N,5,NULL,5,NULL,*,5,N,0,8,6,38,1,38.9,618,24,Y24,N,N,0618,NULL,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,3,NULL,0,0,0,5,9,9,9,30,0,NULL,Y,5,100,2040,NULL,Y,74,F,6,164.7
37,DAPFORBRA00000M,1,8,0,00000,0,06,051,31920,'LITTLE ROCKFISH CREEK',NULL,'CHICKEN ROAD','PU 741 821',99.99,0,0,NULL,NULL,35.06674,-79.09083,3,3,74,74,09,1955,2,0,2,2018,0,6.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,00,1,0,6.7,7,7,0,0,7.3,7.6,99.99,N,0,N,0,0,N,N,N,7,6,5,NULL,5,NULL,*,6,N,5,6,8,38,1,13.4,618,24,N,Y60,N,NULL,0616,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,2,NULL,0,0,0,N,N,N,N,0,0,NULL,Y,8,2,2040,NULL,Y,74,F,6,53.2
37,DAPFORBRA00BR02,1,8,0,00000,0,00,051,31920,'LITTLE ROCKFISH CREEK',NULL,'PLANK ROAD','PU 741 808',99.99,0,0,NULL,NULL,35.05472,-79.09111,6,3,74,74,09,1952,2,0,1000,2016,0,13.6,0,0,0,N,N,0,1,5,0,0,0,A,1,5,3,19,0,00,8,0,13.6,1.5,15.3,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,5,5,NULL,5,NULL,*,N,N,5,6,8,38,1,22.1,618,24,N,N,N,NULL,NULL,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,2,NULL,0,0,0,N,N,N,N,6,0,NULL,Y,8,2000,2038,NULL,Y,74,F,5,208.08
37,DAPFORBRA00BR03,1,8,0,00000,0,00,093,31920,'PUPPY CREEK',NULL,'PLANK ROAD','PU 706 802',99.99,0,0,NULL,NULL,35.04972,-79.12917,6,3,74,74,09,1955,2,0,1000,2016,0,7.3,0,0,0,1,0,0,1,5,0,0,0,A,1,5,1,19,0,00,3,0,9.4,3,9.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,5,6,5,NULL,5,NULL,*,N,N,5,7,8,38,1,16.1,618,24,N,N,N,NULL,NULL,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,2,NULL,0,0,0,N,N,N,N,0,0,NULL,Y,8,2000,2038,NULL,Y,74,F,6,68.62
37,DAPFORBRA00000T,1,8,0,00000,0,06,093,31920,'PUPPY CREEK',NULL,'FB5','PU 702 815',99.99,0,0,NULL,NULL,35.06212,-79.13250,3,3,74,74,09,1970,2,0,2,2018,0,9.1,0,0,0,0,N,N,N,5,0,0,0,A,1,5,9,19,0,00,2,0,9.1,5,11.6,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,7,5,NULL,5,NULL,*,N,N,5,7,8,38,1,18.3,618,24,N,Y60,N,NULL,0616,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,2,NULL,0,0,0,N,N,N,N,0,0,NULL,Y,8,2,2040,NULL,Y,74,G,7,105.56
37,DAPFORBRA0BR107,1,8,0,00000,0,06,093,31920,'MCDUFFIE CREEK',NULL,'FIREBREAK 4','RANGE I12 (W)',99.99,0,0,NULL,NULL,35.05944,-79.13361,3,3,74,74,09,2013,1,0,1,2016,0,3.7,0,0,0,0,N,N,N,5,0,0,0,A,1,5,5,05,0,00,1,0,3.7,14.6,15,0,0,3.7,3.7,99.99,N,0,N,0,0,8,8,7,6,N,5,NULL,5,NULL,*,4,N,5,8,6,38,1,21.8,618,24,N,N,N,NULL,NULL,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,3,NULL,0,0,0,2,1,0,1,0,0,NULL,Y,8,2,2038,NULL,Y,74,G,7,55.5
37,DAPFORBRA00000R,1,8,0,00000,0,06,093,31920,'PUPPY CREEK',NULL,'CHICKEN ROAD','PU 701 822',99.99,0,0,NULL,NULL,35.06867,-79.13389,2,3,74,74,09,1960,1,0,2,2018,0,6.7,0,0,0,0,0,0,0,5,N,0,0,K,1,5,3,19,0,00,2,0,6.7,4.9,10.8,0,0,0,0,99.99,N,0,N,0,0,N,N,N,4,5,5,NULL,5,NULL,*,N,N,5,7,8,38,1,17.1,718,24,N,Y60,N,NULL,0616,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,3,NULL,0,0,0,N,N,N,N,0,0,NULL,Y,3,2,2040,NULL,Y,74,F,5,72.36
37,DAPFORBRA000030,1,8,0,00000,0,00,093,31920,'DEEP CREEK',NULL,'FIREBREAK 15','PU 682 917',99.99,0,0,NULL,NULL,35.15466,-79.15361,2,3,74,74,09,1990,1,0,2,2016,0,3.4,0,0,0,0,N,N,N,5,0,0,0,A,1,5,3,10,0,00,1,0,3.8,18.3,18.3,0,0,3.8,4.1,99.99,N,0,N,0,0,5,6,4,4,N,5,NULL,5,NULL,*,4,N,5,4,6,38,1,25.5,618,24,Y24,N,N,0618,NULL,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,3,NULL,0,0,0,8,7,0,0,0,0,NULL,Y,5,2,2038,NULL,Y,74,P,4,75.03
37,DAPFORBRA000065,1,8,0,00000,0,00,093,31920,'DEEP CREEK',NULL,'FB 13','PU 681 921',99.99,0,0,NULL,NULL,35.15784,-79.15417,2,3,74,74,09,2015,1,0,2,2016,0,4.2,0,30,0,0,N,N,N,5,0,0,0,A,1,5,5,01,0,00,1,0,3.3,13.2,14.3,0,0,3.3,3.7,99.99,N,0,N,0,0,8,8,7,7,N,5,NULL,5,NULL,*,2,N,5,8,6,38,1,21.1,618,24,N,N,N,NULL,NULL,NULL,1,1,2,2018,NULL,NULL,NULL,0,N,3,NULL,0,0,0,2,0,0,0,0,0,NULL,Y,8,8,2038,NULL,Y,74,G,7,52.91
